date,timestamp,raw_peak,month
2025-01-01,2025-01-01 16:15:00,220.0,2025-01
2025-01-02,2025-01-02 14:15:00,1179.0,2025-01
2025-01-03,2025-01-03 14:30:00,1097.0,2025-01
2025-01-04,2025-01-04 00:00:00,104.0,2025-01
2025-01-05,2025-01-05 02:00:00,38.0,2025-01
2025-01-06,2025-01-06 15:00:00,1109.0,2025-01
2025-01-07,2025-01-07 14:15:00,1160.0,2025-01
2025-01-08,2025-01-08 15:00:00,1144.0,2025-01
2025-01-09,2025-01-09 14:45:00,1208.0,2025-01
2025-01-10,2025-01-10 14:00:00,1093.0,2025-01
2025-01-11,2025-01-11 00:00:00,130.0,2025-01
2025-01-12,2025-01-12 09:30:00,55.0,2025-01
2025-01-13,2025-01-13 14:15:00,1131.0,2025-01
2025-01-14,2025-01-14 14:45:00,1140.0,2025-01
2025-01-15,2025-01-15 14:30:00,1114.0,2025-01
2025-01-16,2025-01-16 14:30:00,1176.0,2025-01
2025-01-17,2025-01-17 14:00:00,1063.0,2025-01
2025-01-18,2025-01-18 00:00:00,132.0,2025-01
2025-01-19,2025-01-19 00:00:00,52.0,2025-01
2025-01-20,2025-01-20 14:30:00,994.0,2025-01
2025-01-21,2025-01-21 14:45:00,1039.0,2025-01
2025-01-22,2025-01-22 14:00:00,995.0,2025-01
2025-01-23,2025-01-23 12:00:00,945.0,2025-01
2025-01-24,2025-01-24 13:45:00,347.0,2025-01
2025-01-25,2025-01-25 00:00:00,74.0,2025-01
2025-01-26,2025-01-26 08:15:00,17.0,2025-01
2025-01-27,2025-01-27 15:45:00,83.0,2025-01
2025-01-28,2025-01-28 11:15:00,58.0,2025-01
2025-01-29,2025-01-29 16:00:00,87.0,2025-01
2025-01-30,2025-01-30 16:45:00,96.0,2025-01
2025-01-31,2025-01-31 14:45:00,89.0,2025-01
2025-02-01,2025-02-01 00:00:00,23.0,2025-02
2025-02-02,2025-02-02 09:00:00,8.0,2025-02
2025-02-03,2025-02-03 14:15:00,414.0,2025-02
2025-02-04,2025-02-04 14:15:00,1001.0,2025-02
2025-02-05,2025-02-05 14:45:00,1058.0,2025-02
2025-02-06,2025-02-06 20:00:00,167.0,2025-02
2025-02-07,2025-02-07 20:30:00,140.0,2025-02
2025-02-08,2025-02-08 00:00:00,106.0,2025-02
2025-02-09,2025-02-09 07:00:00,42.0,2025-02
2025-02-10,2025-02-10 14:15:00,1076.0,2025-02
2025-02-11,2025-02-11 14:30:00,1130.0,2025-02
2025-02-12,2025-02-12 14:15:00,1106.0,2025-02
2025-02-13,2025-02-13 14:30:00,1210.0,2025-02
2025-02-14,2025-02-14 11:45:00,1125.0,2025-02
2025-02-15,2025-02-15 00:00:00,119.0,2025-02
2025-02-16,2025-02-16 10:45:00,45.0,2025-02
2025-02-17,2025-02-17 13:30:00,1290.0,2025-02
2025-02-18,2025-02-18 14:15:00,1174.0,2025-02
2025-02-19,2025-02-19 13:45:00,1397.0,2025-02
2025-02-20,2025-02-20 14:15:00,1417.0,2025-02
2025-02-21,2025-02-21 14:00:00,1293.0,2025-02
2025-02-22,2025-02-22 00:00:00,109.0,2025-02
2025-02-23,2025-02-23 00:00:00,85.0,2025-02
2025-02-24,2025-02-24 15:00:00,1327.0,2025-02
2025-02-25,2025-02-25 15:00:00,1374.0,2025-02
2025-02-26,2025-02-26 15:00:00,1409.0,2025-02
2025-02-27,2025-02-27 13:30:00,1346.0,2025-02
2025-02-28,2025-02-28 15:30:00,408.0,2025-02
2025-03-01,2025-03-01 00:00:00,166.0,2025-03
2025-03-02,2025-03-02 08:15:00,57.0,2025-03
2025-03-03,2025-03-03 14:15:00,1237.0,2025-03
2025-03-04,2025-03-04 14:00:00,1157.0,2025-03
2025-03-05,2025-03-05 14:30:00,1440.0,2025-03
2025-03-06,2025-03-06 13:15:00,1505.0,2025-03
2025-03-07,2025-03-07 14:00:00,1254.0,2025-03
2025-03-08,2025-03-08 00:00:00,157.0,2025-03
2025-03-09,2025-03-09 08:15:00,64.0,2025-03
2025-03-10,2025-03-10 14:30:00,1305.0,2025-03
2025-03-11,2025-03-11 14:30:00,1347.0,2025-03
2025-03-12,2025-03-12 15:00:00,1418.0,2025-03
2025-03-13,2025-03-13 13:15:00,1440.0,2025-03
2025-03-14,2025-03-14 14:30:00,1334.0,2025-03
2025-03-15,2025-03-15 00:00:00,169.0,2025-03
2025-03-16,2025-03-16 09:00:00,55.0,2025-03
2025-03-17,2025-03-17 14:15:00,1335.0,2025-03
2025-03-18,2025-03-18 14:15:00,1375.0,2025-03
2025-03-19,2025-03-19 13:45:00,1399.0,2025-03
2025-03-20,2025-03-20 13:30:00,1479.0,2025-03
2025-03-21,2025-03-21 11:45:00,1263.0,2025-03
2025-03-22,2025-03-22 00:00:00,168.0,2025-03
2025-03-23,2025-03-23 01:45:00,56.0,2025-03
2025-03-24,2025-03-24 14:15:00,1226.0,2025-03
2025-03-25,2025-03-25 00:00:00,172.0,2025-03
2025-03-26,2025-03-26 07:45:00,61.0,2025-03
2025-03-27,2025-03-27 00:00:00,42.0,2025-03
2025-03-28,2025-03-28 08:45:00,23.0,2025-03
2025-03-29,2025-03-29 16:15:00,4.0,2025-03
2025-03-30,2025-03-30 17:45:00,1.0,2025-03
2025-03-31,2025-03-31 16:00:00,0.0,2025-03
