星期,小時,mean,std
0,0,751.6415094339623,468.73020345231333
0,1,739.1132075471698,468.30585257177313
0,2,734.4528301886793,468.23044811279937
0,3,731.2830188679245,467.728158120081
0,4,737.1509433962265,469.19277636524157
0,5,771.8867924528302,468.43859544962925
0,6,855.2641509433962,466.46729421766116
0,7,1181.0566037735848,480.2152327980868
0,8,1488.0566037735848,505.26004024943336
0,9,1685.754716981132,518.8400859928727
0,10,1794.4716981132076,530.2493826846435
0,11,1876.6415094339623,537.8831405233076
0,12,1903.0377358490566,547.63905723584
0,13,1945.698113207547,552.4313596382415
0,14,1926.6603773584907,549.2502212245703
0,15,1922.3396226415093,538.626170612871
0,16,1877.132075471698,529.5022349678933
0,17,1665.4150943396226,510.8365098226431
0,18,1423.8867924528302,500.0362933126939
0,19,1268.301886792453,486.84050400775544
0,20,1163.245283018868,480.0363329863038
0,21,1059.7735849056603,476.324616262959
0,22,922.7924528301887,478.0150608542407
0,23,841.2264150943396,482.3450584826909
1,0,805.811320754717,483.76965500137067
1,1,793.2264150943396,484.95470214750816
1,2,788.0943396226415,485.8314547940921
1,3,782.8301886792453,485.20625019156915
1,4,785.9245283018868,486.3701047657733
1,5,822.1509433962265,488.23896246637946
1,6,899.9433962264151,485.53726843785114
1,7,1220.7169811320755,497.3926005975288
1,8,1553.2830188679245,513.819984091948
1,9,1737.7169811320755,518.4589731323787
1,10,1855.3207547169811,525.2472961005682
1,11,1933.4528301886792,532.7485178854502
1,12,1952.9245283018868,539.0907890233977
1,13,1993.5471698113208,543.6028869439152
1,14,1980.9811320754718,535.4399158479961
1,15,1955.2264150943397,532.9789879502912
1,16,1902.0377358490566,525.1523574626902
1,17,1688.3962264150944,522.932645303339
1,18,1466.5283018867924,522.4026079189522
1,19,1327.5471698113208,519.6038641280836
1,20,1214.4905660377358,511.58304922606914
1,21,1102.1698113207547,503.53472631942594
1,22,929.1320754716982,497.1975322412244
1,23,844.7924528301887,495.0773583099672
2,0,821.1538461538462,493.36858848386794
2,1,809.1153846153846,493.4227258906295
2,2,803.7692307692307,492.4547402468104
2,3,798.3846153846154,492.0579096258279
2,4,801.4423076923077,493.4065027930739
2,5,832.8653846153846,492.6942745659273
2,6,908.9423076923077,490.34899190396703
2,7,1218.0576923076924,498.52104459135177
2,8,1533.173076923077,517.5574126020865
2,9,1724.25,537.4263606646541
2,10,1846.1153846153845,550.0239800065102
2,11,1921.1538461538462,555.7897890324725
2,12,1935.9038461538462,557.6279685932783
2,13,1958.0192307692307,561.8602676887197
2,14,1956.0192307692307,556.6525825522968
2,15,1942.25,559.8137951981156
2,16,1884.9807692307693,556.62686802845
2,17,1685.7884615384614,535.4651756875113
2,18,1466.0192307692307,516.8474000292965
2,19,1329.5384615384614,507.0714248153345
2,20,1226.0576923076924,498.11745262170336
2,21,1124.9807692307693,494.46875792521246
2,22,965.2115384615385,500.2527728328934
2,23,876.9038461538462,503.51794794871586
3,0,839.6153846153846,502.90677239370825
3,1,825.75,503.1284042632365
3,2,820.1346153846154,502.1636725933071
3,3,815.0384615384615,502.96165844351736
3,4,818.2115384615385,504.24742357098745
3,5,852.1153846153846,506.59604721394174
3,6,924.1538461538462,508.32575569853407
3,7,1223.1153846153845,536.4123981929793
3,8,1522.2884615384614,580.2086283512793
3,9,1716.5576923076924,612.2041955087304
3,10,1835.5,634.9009340664348
3,11,1916.826923076923,651.774402241909
3,12,1934.0,657.7191724466618
3,13,1959.9615384615386,664.1220937105236
3,14,1948.0,661.8451924910606
3,15,1888.9807692307693,631.7547765249913
3,16,1839.3846153846155,616.180746141532
3,17,1637.4807692307693,582.4144299812436
3,18,1433.0576923076924,553.1514494404761
3,19,1299.0961538461538,530.6982547851236
3,20,1197.173076923077,518.2133605997365
3,21,1090.2692307692307,509.24823930060796
3,22,943.7692307692307,498.5937721461493
3,23,859.1923076923077,498.26597505795297
4,0,823.2884615384615,499.987816970729
4,1,811.3269230769231,500.11966102060666
4,2,805.5192307692307,499.1162185532805
4,3,800.1923076923077,498.18545402925497
4,4,801.1153846153846,500.48547622836713
4,5,834.5384615384615,501.7960472159066
4,6,907.6538461538462,501.5439254946701
4,7,1216.0961538461538,504.31865353032754
4,8,1515.5961538461538,517.2474759314598
4,9,1689.3076923076924,530.5137923383678
4,10,1774.8653846153845,539.0107870740642
4,11,1843.25,543.7349006242497
4,12,1855.9423076923076,551.1465202669915
4,13,1817.1923076923076,518.3290286106429
4,14,1796.8461538461538,515.4712819681972
4,15,1775.7884615384614,510.2882052460874
4,16,1667.673076923077,475.62482005990137
4,17,1434.1346153846155,455.31127162897934
4,18,1215.4038461538462,440.5388527351825
4,19,1094.9615384615386,432.13455427853495
4,20,1012.7692307692307,429.01481373868654
4,21,928.1538461538462,425.99417213243595
4,22,827.9230769230769,429.00943113879583
4,23,747.0576923076923,434.09416225558033
5,0,707.7307692307693,435.98750276137804
5,1,693.0384615384615,435.93186018803283
5,2,686.8269230769231,435.54787320014594
5,3,683.4230769230769,434.9766433284979
5,4,683.0576923076923,434.8398133485497
5,5,704.25,434.304667391046
5,6,739.5769230769231,427.3231933956736
5,7,837.5961538461538,417.0848533414727
5,8,1010.9230769230769,429.4424495741301
5,9,1133.3846153846155,445.1649684897021
5,10,1175.423076923077,447.07249691322903
5,11,1200.9038461538462,449.13635030064927
5,12,1210.6153846153845,452.5785016445538
5,13,1189.9615384615386,460.4986624297052
5,14,1202.25,459.004416015324
5,15,1192.3076923076924,459.42058728152307
5,16,1176.3076923076924,450.95021848038976
5,17,1066.0192307692307,444.7096647223174
5,18,930.4615384615385,446.26372496226327
5,19,856.3076923076923,451.3395981750823
5,20,820.9807692307693,454.78309806939046
5,21,794.1923076923077,453.01750987505307
5,22,759.7307692307693,455.3019302200923
5,23,723.4807692307693,455.8599066872266
6,0,705.4038461538462,456.67799869790196
6,1,697.9615384615385,456.91982226852497
6,2,693.5192307692307,457.92792010870335
6,3,690.5961538461538,457.4699072762585
6,4,690.2884615384615,457.76941436382407
6,5,705.9807692307693,458.5354131505244
6,6,731.1923076923077,459.05538298287115
6,7,791.75,458.45036830182437
6,8,887.9423076923077,462.5998318735882
6,9,974.4230769230769,469.45677184750906
6,10,1024.6153846153845,471.35745371261237
6,11,1051.9615384615386,475.41168791007675
6,12,1057.6923076923076,473.5502763734742
6,13,1071.4807692307693,472.9394725765289
6,14,1105.423076923077,479.569510639954
6,15,1136.0961538461538,480.8392279360867
6,16,1159.8461538461538,469.42532178187315
6,17,1099.8846153846155,467.6345000542899
6,18,1000.6923076923077,466.17801608909673
6,19,948.4038461538462,461.55237884371235
6,20,937.5192307692307,460.1691713811267
6,21,916.9615384615385,456.42476611064325
6,22,857.1538461538462,457.0628902800921
6,23,803.5192307692307,458.7666111918942
